employee_id;first_name;last_name;email;phone_number;hire_date;job_id;salary;manager_id;department_id
100;Steven;King;steven.king@sqltutorial.org;5.151.234.567;17.06.1987;4;24000;NULL;9
101;Neena;Kochhar;neena.kochhar@sqltutorial.org;5.151.234.568;21.09.1989;5;17000;100;9
102;Lex;De Haan;lex.de haan@sqltutorial.org;5.151.234.569;13.01.1993;5;17000;100;9
103;Alexander;Hunold;alexander.hunold@sqltutorial.org;5.904.234.567;03.01.1990;9;9000;102;6
104;Bruce;Ernst;bruce.ernst@sqltutorial.org;5.904.234.568;21.05.1991;9;6000;103;6
105;David;Austin;david.austin@sqltutorial.org;5.904.234.569;25.06.1997;9;4800;103;6
106;Valli;Pataballa;valli.pataballa@sqltutorial.org;5.904.234.560;05.02.1998;9;4800;103;6
107;Diana;Lorentz;diana.lorentz@sqltutorial.org;5.904.235.567;07.02.1999;9;4200;103;6
108;Nancy;Greenberg;nancy.greenberg@sqltutorial.org;5.151.244.569;17.08.1994;7;12000;101;10
109;Daniel;Faviet;daniel.faviet@sqltutorial.org;5.151.244.169;16.08.1994;6;9000;108;10
110;John;Chen;john.chen@sqltutorial.org;5.151.244.269;28.09.1997;6;8200;108;10
111;Ismael;Sciarra;ismael.sciarra@sqltutorial.org;5.151.244.369;30.09.1997;6;7700;108;10
112;Jose Manuel;Urman;jose manuel.urman@sqltutorial.org;5.151.244.469;07.03.1998;6;7800;108;10
113;Luis;Popp;luis.popp@sqltutorial.org;5.151.244.567;07.12.1999;6;6900;108;10
114;Den;Raphaely;den.raphaely@sqltutorial.org;5.151.274.561;07.12.1994;14;11000;100;3
115;Alexander;Khoo;alexander.khoo@sqltutorial.org;5.151.274.562;18.05.1995;13;3100;114;3
116;Shelli;Baida;shelli.baida@sqltutorial.org;5.151.274.563;24.12.1997;13;2900;114;3
117;Sigal;Tobias;sigal.tobias@sqltutorial.org;5.151.274.564;24.07.1997;13;2800;114;3
118;Guy;Himuro;guy.himuro@sqltutorial.org;5.151.274.565;15.11.1998;13;2600;114;3
119;Karen;Colmenares;karen.colmenares@sqltutorial.org;5.151.274.566;10.08.1999;13;2500;114;3
120;Matthew;Weiss;matthew.weiss@sqltutorial.org;6.501.231.234;18.07.1996;19;8000;100;5
121;Adam;Fripp;adam.fripp@sqltutorial.org;6.501.232.234;10.04.1997;19;8200;100;5
122;Payam;Kaufling;payam.kaufling@sqltutorial.org;6.501.233.234;01.05.1995;19;7900;100;5
123;Shanta;Vollman;shanta.vollman@sqltutorial.org;6.501.234.234;10.10.1997;19;6500;100;5
126;Irene;Mikkilineni;irene.mikkilineni@sqltutorial.org;6.501.241.224;28.09.1998;18;2700;120;5
145;John;Russell;john.russell@sqltutorial.org;NULL;01.10.1996;15;14000;100;8
146;Karen;Partners;karen.partners@sqltutorial.org;NULL;05.01.1997;15;13500;100;8
176;Jonathon;Taylor;jonathon.taylor@sqltutorial.org;NULL;24.03.1998;16;8600;100;8
177;Jack;Livingston;jack.livingston@sqltutorial.org;NULL;23.04.1998;16;8400;100;8
178;Kimberely;Grant;kimberely.grant@sqltutorial.org;NULL;24.05.1999;16;7000;100;8
179;Charles;Johnson;charles.johnson@sqltutorial.org;NULL;04.01.2000;16;6200;100;8
192;Sarah;Bell;sarah.bell@sqltutorial.org;6.505.011.876;04.02.1996;17;4000;123;5
193;Britney;Everett;britney.everett@sqltutorial.org;6.505.012.876;03.03.1997;17;3900;123;5
200;Jennifer;Whalen;jennifer.whalen@sqltutorial.org;5.151.234.444;17.09.1987;3;4400;101;1
201;Michael;Hartstein;michael.hartstein@sqltutorial.org;5.151.235.555;17.02.1996;10;13000;100;2
202;Pat;Fay;pat.fay@sqltutorial.org;6.031.236.666;17.08.1997;11;6000;201;2
203;Susan;Mavris;susan.mavris@sqltutorial.org;5.151.237.777;07.06.1994;8;6500;101;4
204;Hermann;Baer;hermann.baer@sqltutorial.org;5.151.238.888;07.06.1994;12;10000;101;7
205;Shelley;Higgins;shelley.higgins@sqltutorial.org;5.151.238.080;07.06.1994;2;12000;101;11
206;William;Gietz;william.gietz@sqltutorial.org;5.151.238.181;07.06.1994;1;8300;205;11
